id,area,dept_label,position,catalog_id,criticality,required_level
294,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,793,3,3
295,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,744,2,2
296,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,777,2,2
297,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,775,2,2
298,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,790,2,2
299,HSE,SƏTƏM Şöbəsi,SƏTƏM üzrə mütəxəssis,795,2,2
300,HSE,SƏTƏM Şöbəsi,Feldşer,747,3,3
301,HSE,SƏTƏM Şöbəsi,Feldşer,752,3,3
302,HSE,SƏTƏM Şöbəsi,Feldşer,758,3,3
303,HSE,SƏTƏM Şöbəsi,Feldşer,787,3,3
304,HSE,SƏTƏM Şöbəsi,Feldşer,791,3,3
305,HSE,SƏTƏM Şöbəsi,Həkim,745,4,4
306,HSE,SƏTƏM Şöbəsi,Həkim,746,4,4
307,HSE,SƏTƏM Şöbəsi,Həkim,756,4,4
308,HSE,SƏTƏM Şöbəsi,Həkim,754,4,4
309,HSE,SƏTƏM Şöbəsi,Həkim,785,4,4
